ITEM_ID,ITEM_NAME,ITEM_DESCRIPTION,BRAND,MANUFACTURER,UOM,ITEM_TYPE,STATUS
ITEM_0000,Within Whether,Ability each hair exist over quickly hear local manager sell very.,"West, Johnson and Jones","Williams, Fox and Walters",Box,RAW,DISCONTINUED
ITEM_0001,Vote Price,Operation buy old officer minute system society including record government never local remember drop small bank.,Martinez-Evans,Wiggins Inc,Litre,FINISHED,ACTIVE
ITEM_0002,Enough Provide,Many throw culture consider behavior television view environmental including step system hold few law short.,"Brooks, Fernandez and Clark",Kelly PLC,Box,PACKAGED,ACTIVE
ITEM_0003,Hotel Quality,Ground stop enter these instead yard tonight situation address others.,"Cisneros, Miller and Benson",Brooks-Rogers,Piece,SEMI_FINISHED,ACTIVE
ITEM_0004,Yard Program,Once deep bar trip school card structure nor worker force report class central international outside most.,Burke Ltd,Bond LLC,Litre,SEMI_FINISHED,ACTIVE
ITEM_0005,System The,Language it bed team suffer wrong join stop sometimes degree for hit lot employee order.,Ramirez PLC,Flores Ltd,Box,RAW,ACTIVE
ITEM_0006,Cut Thousand,Natural read administration though dream boy feel bring see politics through.,Olsen-Holt,"Johnson, Bates and Lewis",Piece,PACKAGED,DISCONTINUED
ITEM_0007,Although Character,Only ten throughout central onto south provide watch sound sound process scene coach song think.,Ferguson-May,"Mueller, Ortega and Owens",Litre,SEMI_FINISHED,ACTIVE
ITEM_0008,Also Test,Such open bill western sure fish term price you manage try sing exist.,Lopez Ltd,Mcgee-Rogers,Litre,FINISHED,ACTIVE
ITEM_0009,Whom Democrat,Town face today responsibility life too tough allow nation glass economy in off simply stay later.,"Sanders, Garcia and Brown",Schultz-Jacobson,Box,RAW,ACTIVE
ITEM_0010,Since Decide,Nice style news message fire plan three manage simple amount yard sea cut away red.,"Silva, Sanchez and Hunter","Davis, Adkins and Yoder",Litre,RAW,ACTIVE
ITEM_0011,We Citizen,Necessary chance president happy public sound fight room miss.,"Perez, Freeman and Tran","Medina, Jimenez and Norman",KG,RAW,DISCONTINUED
ITEM_0012,Father Ability,South actually total entire other reduce early.,Floyd-Yates,"Smith, Jenkins and Jones",Box,SEMI_FINISHED,ACTIVE
ITEM_0013,Show Toward,Thing another defense race trouble care me affect believe.,"Henry, Ramirez and Vaughan",Stephenson and Sons,Piece,PACKAGED,DISCONTINUED
ITEM_0014,Window Possible,Report sister thank until stand attention mother other eye about occur reach.,Peck-Meyer,"Smith, Terrell and Rodgers",KG,FINISHED,ACTIVE
ITEM_0015,Common Prevent,Sea evening fine discussion large up measure care would second somebody.,"Bailey, Tate and Murphy","Hernandez, Perry and Johnson",Piece,SEMI_FINISHED,ACTIVE
ITEM_0016,Gun Them,Wonder realize sister them almost computer green no.,"Ford, Russell and Ball","Cohen, Smith and Allen",Piece,PACKAGED,ACTIVE
ITEM_0017,Health Term,Guess half us including record together employee impact national have next language travel Mr.,"Cochran, Baxter and Jones",Ho-Garrison,Piece,PACKAGED,ACTIVE
ITEM_0018,Box Movie,Onto size recent shake education boy arm information boy send write.,"Rivera, Williamson and Lee",Martinez-Khan,Box,SEMI_FINISHED,DISCONTINUED
ITEM_0019,Movement Size,Body little think knowledge question population environmental light central song age time box court boy.,Flores-Matthews,"Gibbs, Hanson and Wade",Piece,RAW,ACTIVE
ITEM_0020,Kitchen Pass,Grow sell arrive short next east plan company large identify little often.,Lopez Inc,Swanson-Williams,Litre,FINISHED,DISCONTINUED
ITEM_0021,Thing Ever,Oil be become allow born hospital simple message.,"Smith, Rodriguez and Kirby",Gray Group,KG,SEMI_FINISHED,ACTIVE
ITEM_0022,Certainly Short,Explain music race cold leave industry forward amount season deep.,Lee-Reyes,Banks-Walton,Piece,PACKAGED,ACTIVE
ITEM_0023,Say Use,Piece walk pattern short number former alone minute responsibility event economy.,"Waters, Nelson and Pearson","Holmes, Bennett and Hunter",KG,PACKAGED,ACTIVE
ITEM_0024,Spend Wind,Baby environmental old enough upon body end billion expect necessary.,"Johnson, Reed and Jones",Krause Group,Box,PACKAGED,ACTIVE
ITEM_0025,Less Office,Do international modern democratic lay say prepare anyone against.,"Lamb, Snyder and King",Lopez PLC,Box,FINISHED,ACTIVE
ITEM_0026,Production School,Former decision individual something science system TV age me tax participant.,"Frazier, Lopez and Adams","Gray, Miller and White",Litre,RAW,ACTIVE
ITEM_0027,Among Amount,Adult at girl short weight young operation right plan.,Campbell Inc,Evans-Howell,KG,SEMI_FINISHED,DISCONTINUED
ITEM_0028,Year Listen,Drive wonder probably popular word stand clear she.,"Young, Johnson and Shepard","Davis, Walker and Crawford",Piece,RAW,ACTIVE
ITEM_0029,Individual Exactly,Quickly tax attorney whole customer between central way boy picture.,"Hall, Harmon and Brown",Chavez LLC,KG,SEMI_FINISHED,ACTIVE
ITEM_0030,Thank Soldier,Young officer check provide turn carry company here.,Johnson and Sons,Porter and Sons,Piece,FINISHED,ACTIVE
ITEM_0031,Care Our,Glass administration sometimes trouble policy debate picture alone story wide.,"Mullins, Morales and Allen",Rodriguez LLC,Box,FINISHED,DISCONTINUED
ITEM_0032,Exist Force,Place hope law follow experience group garden.,"Montoya, Barker and Watts",Tanner-Hurst,Piece,RAW,ACTIVE
ITEM_0033,Decide Energy,Certain among ever step culture exactly vote positive by himself tree then none.,"Murphy, Bowen and Hart",Santana and Sons,Piece,SEMI_FINISHED,DISCONTINUED
ITEM_0034,Stay Painting,How candidate will young generation fly meet remember as.,Baker and Sons,"Johnson, Reese and Daniel",Piece,SEMI_FINISHED,ACTIVE
ITEM_0035,Watch Fact,From practice walk let politics every current similar street.,Miller Inc,Mendoza-Contreras,Litre,FINISHED,ACTIVE
ITEM_0036,Adult On,Southern part sort market green wish rule center draw order however industry single game single animal.,"Martinez, Martin and Roberson",Hunt Group,Piece,PACKAGED,ACTIVE
ITEM_0037,They Paper,Fact student leader yes eye cover Congress I conference least knowledge already nice federal respond.,Davis-Alexander,Allen-Ashley,Piece,PACKAGED,DISCONTINUED
ITEM_0038,Great Care,Budget here life enter cost sit to image.,George Group,Rogers LLC,Piece,RAW,DISCONTINUED
ITEM_0039,And What,Little artist sit stand research work oil TV mouth ready ground wrong produce government local.,"Jones, Camacho and Clark","Evans, Anderson and Brennan",Piece,PACKAGED,ACTIVE
ITEM_0040,Appear Open,Manage policy religious sport different degree significant better yeah authority country green.,"Gutierrez, Martinez and Franco",Martinez and Sons,Piece,PACKAGED,ACTIVE
ITEM_0041,Feeling Success,Nearly bank way whole religious site hear.,"Anderson, Harrison and Rodriguez",Murray-Miller,Box,RAW,ACTIVE
ITEM_0042,Remember Gas,Election rule cause live water against share late tend represent central thousand something nearly fill.,Horton Inc,Carr-Williams,KG,FINISHED,ACTIVE
ITEM_0043,Change Game,Everybody send first by take prepare production difference.,Roman-Keith,Turner-White,Piece,PACKAGED,DISCONTINUED
ITEM_0044,Nice Threat,Serve modern require source service find law figure guy investment from near world rule.,Green Inc,"Peterson, Lawson and Wu",Litre,SEMI_FINISHED,DISCONTINUED
ITEM_0045,Look Rise,Say young every here book service control after development if pass surface behavior.,Jones LLC,Carter-Lee,Litre,PACKAGED,DISCONTINUED
ITEM_0046,Direction Economic,Traditional push car PM report civil true opportunity economy girl lay.,"Smith, Aguilar and Schultz",Miller-Rivera,Box,PACKAGED,DISCONTINUED
